"Employee External Id","Employee Username","Employee Employee Id","Employee EIN Name","Date","Shift Number","Schedule Type Name","Daily Rule Type Name","Start Time","Start Time Max","End Time","End Time Max","Total Hours","Standard Total Hours","Lunch Min Time","Lunch Max Time","Lunch Paid Time","Lunch Start At","Lunch Start After","Shift Premium","Cost Center 1 External Id","Cost Center 1 Name","Cost Center 2 External Id","Cost Center 2 Name","Cost Center 3 External Id","Cost Center 3 Name","Cost Center 4 External Id","Cost Center 4 Name","Cost Center 5 External Id","Cost Center 5 Name","Cost Center 6 External Id","Cost Center 6 Name","Cost Center 7 External Id","Cost Center 7 Name","Cost Center 8 External Id","Cost Center 8 Name","Cost Center 9 External Id","Cost Center 9 Name","Job External Id","Job Name","Workday Breakdown","Day Type","Is Working"
"","","7602","","09/21/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8066","","09/21/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1988","","09/21/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","999999","","09/21/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14230","","09/21/2021","","Floating","","1:41 AM","05:45:00","","","02:01","","","","","","","","","","","","","KROGER #002, 7467 WOODROW STREET, IRMO, SC","","","","","","","","","","","","","","","","",""
"","","10602","","09/21/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6447","","09/21/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13786","","09/21/2021","","Floating","","1:41 AM","05:45:00","","","02:01","","","","","","","","","","","","","KROGER #002, 7467 WOODROW STREET, IRMO, SC","","","","","","","","","","","","","","","","",""
"","","12324","","09/21/2021","","Floating","","4:47 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #456, 4400 BROWNSVILLE ROAD, POWDER SPRINGS, GA","","","","","","","","","","","","","","","","",""
"","","9239","","09/21/2021","","Floating","","4:47 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #456, 4400 BROWNSVILLE ROAD, POWDER SPRINGS, GA","","","","","","","","","","","","","","","","",""
